name,description,category,value,type,state,max_attempts,flags,tags,hints,type_data
"Ghost in a Shell 3","![Ghost in a Shell 3](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/ghostinashell3/banner.jpg)\n\n```\n  _, _,_  _,  _, ___   _ _, _    _,    _, _,_ __, _,  _,    ,  ,  ,\n / _ |_| / \\ (_   |    | |\\ |   /_\\   (_  |_| |_  |   |     |  |  |\n \\ / | | \\ / , )  |    | | \\|   | |   , ) | | |   | , | ,   |  |  |\n  ~  ~ ~  ~   ~   ~    ~ ~  ~   ~ ~    ~  ~ ~ ~~~ ~~~ ~~~   ~  ~  ~\n______________________________________________________________________\n ,--.     ,--.     ,--.\n| oo |   | oo |   | oo | \n| ~~ |   | ~~ |   | ~~ |   o  o  o  o  o  o  o  o  o  o  o  o  o  o  o\n|/\\/\\|   |/\\/\\|   |/\\/\\|   \n______________________________________________________________________\n\n```\nConnect to the server, snoop around, and find the flag!\n\n- `ssh __DOCKER_HOST__ -p 2203 -l pinky`\n- password is: `!speedy!`\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","forensics","100","standard","visible","0","he2022{0p3n-35-35-37-f0r-pr0fit}","","",""
"Fibonacci Rabbits","![Fibonacci Rabbits](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/fibonaccirabbits/banner.jpg)\n\nEveryone loves rabbits!\n\n[http://__DOCKER_HOST__:2201](http://__DOCKER_HOST__:2201)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","web","100","standard","visible","0","he2022{th1z_41nT_4_r4bB1T!}","","It is **not** about the rabbit names.",""
"H\u2082O","![H\u2082O](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/h2o/banner.jpg)\n\nJust some H\u2082O ...\n\n`33333336333032303332333333373230333233333330323033323330333032303333333633303230333233333337323033323331333432303332333133323230333433303230333633363230333733303230333433303230333633363230333633353230333433303230333633363230333633323230333433303230333633333230333633303230333433303230333633333230333633323230333433303230333633363230333633323230333433303230333633373230333133343332323033343330323033363336323033373330323033343330323033363331323033363337323033363331323033343330323033363336323033363334323033343330323033363337323033363332323033343330323033363336323033363330323033343330323033363336323033363337323033343330323033363333323033363333323033343330323033363331323033363335323033363336323033343330323033363335323033313334333632303334333032303336333632303331333433353230333433303230333633313230333633333230333633373230333433303230333633333230333633303230333433303230333633373230333733303230333433303230333633313230333633373230333633313230333433303230333633363230333633373230333433303230333633333230333633333230333433303230333633313230333633353230333633363230333433303230333633373230333133343334`\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","misc","100","standard","visible","0","he2022{hydr0g3n_n_0xyg3n}","","",""
"Teaser","![Teaser](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2022/master/challenges/_teaser/banner.jpg)\n\nCraCC this, you HAXXOR!\n\n`a4a9fefcfefeb7b8fff8bfa9bee1a8fca2ffedb1`\n\n\n----\nCreated by `PS` for `Hacky Easter 2022`","crypto","100","standard","visible","0","he2022{t34ser-d0n3!}","","",""
"Rotation","![Rotation](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/rotation/banner.jpg)\n\nMy new rotor messed up the flag! \n\n`96a_abL_?b04c?0Cbc50C_E_C03c4<HcC5DN`\n\nI tried to decode it, but it didn't work. The rotor must have been too fast!\n\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","misc","50","standard","visible","0","he2023{0n3_c4n_r34d_r0t0r_b4ckw4rds}","","ROT13 decoding attempt in CyberChef: [link](https://gchq.github.io/CyberChef/#recipe=ROT13(true,true,false,13)&input=OTZhX2FiTF8/YjA0Yz8wQ2JjNTBDX0VfQzAzYzQ8SGNDNURO)",""
"Serving Things","![Serving Things](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/servingthings/banner.jpg)\n\nGet the \ud83d\udea9 at `/flag`.\n\n[http://__DOCKER_HOST__:2316](http://__DOCKER_HOST__:2316)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `inik` for `Hacky Easter 2023`","web","100","standard","visible","0","he2023{4ls0-53rv3r-c4n-b3-1nj3ct3d!!!}","","",""
"Going Round","![Going Round](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/goinground/banner.jpg)\n\nI got a flag, but it's encrypted somehow:\n`ip0232j{1t_x_v0z4b3bm__v4xvq}a`\n\nIt was created using the following service:\n\n[http://__DOCKER_HOST__:2305](http://__DOCKER_HOST__:2305)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","crypto","200","standard","visible","0","he2023{fl1p_n_r0t4t3_in_p4irs}","","",""
"Jason","![Jason](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/jason/banner.jpg)\n\nJason has implemented an information service.\n\nHe has hidden a flag in it, can you find it?\n\nConnect to the server:  \n- `nc __DOCKER_HOST__ 2304`\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","misc","300","standard","visible","0","he2023{gr3pp1n_d4_js0n_l1k3_4_pr0!}","","",""
"Ghost in a Shell 4","![Ghost in a Shell 4](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/ghostinashell4/banner.jpg)\n\n```\n  _, _,_  _,  _, ___   _ _, _    _,    _, _,_ __, _,  _,    , ,   ,\n / _ |_| / \\ (_   |    | |\\ |   /_\\   (_  |_| |_  |   |     | \\   /\n \\ / | | \\ / , )  |    | | \\|   | |   , ) | | |   | , | ,   |  \\ /\n  ~  ~ ~  ~   ~   ~    ~ ~  ~   ~ ~    ~  ~ ~ ~~~ ~~~ ~~~   ~   ~ \n______________________________________________________________________\n ,--.     ,--.     ,--.     ,--.\n| oo |   | oo |   | oo |   | oo |\n| ~~ |   | ~~ |   | ~~ |   | ~~ |  o  o  o  o  o  o  o  o  o  o  o  o\n|/\\/\\|   |/\\/\\|   |/\\/\\|   |/\\/\\|\n______________________________________________________________________\n\n```\nConnect to the server, snoop around, and find the flag!\n\n- `ssh __DOCKER_HOST__ -p 2306 -l blinky`\n- password is: `blinkblink`\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","forensics","200","standard","visible","0","he2023{al1asses-4-fUn-and-pr0fit}","","",""
"Kaos Motorn","![Kaos Motorn](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/kaosmotorn/banner.jpg)\n\nWhat?  \nIs?  \nThis?  \n[Kaos](https://docs.google.com/spreadsheets/d/1yxWyraRKss6Wqbw_ejuws6v92vwdE1AEAP1Cc8oec7M/edit?usp=sharing)?  \n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","misc","200","standard","visible","0","he2023{Th4tSKa0Z!}","","Inputs are in the range 0..9.",""
"Thumper's PWN - Ring 3","![Thumper's PWN - Ring 3](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/thumperspwnring3/banner.jpg)\n\nThumper has been hunting his nemesis, Dr. Evil, for months. He finally located his remote system and is trying to gain access. Can you help him find the right password?\n\nTarget: `nc __DOCKER_HOST__ 2313`\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `ice` for `Hacky Easter 2023`","pwn","200","standard","visible","0","he2023{w3lc0m3_t0_r1ng_3_thump3r}","","",""
"Coney Island Hackers 2","![Coney Island Hackers 2](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/coneyislandhackers2/banner.jpg)\n\nConey Island Hackers are back!\n\nThey changed the passphrase of their secret web portal to: `cone\u02b8island`.\n\nHowever, they implemented some protection:\n  - letters and some special characters are not allowed\n  - maximum length of the string entered is 75\n\n[http://__DOCKER_HOST__:2302](http://__DOCKER_HOST__:2302)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","web","200","standard","visible","0","he2023{fun_w1th_ev1l_ev4l_1n_nyc}","","`eval`",""
"Hamster","![Hamster](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/hamster/banner.jpg)\n\nThe Hamster has a flag for you.\n\n[http://__DOCKER_HOST__:2301](http://__DOCKER_HOST__:2301)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","web","100","standard","visible","0","he2023{s1mpl3_h34d3r_t4mp3r1ng}","","`curl` is your friend.\n\nThe \u26f3 is not the flag! \ud83d\ude03",""
"Lost in (French) Space","![Lost in (French) Space](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/lostinfrenchspace/banner.jpg)\n\nMy friend went to France and sent me coordinates of interesting things he found.\n\nThree of them look legit, but one does not make sense to me.  \n- `48.998 2.008`\n- `45.960 0.090`\n- `43.579 1.524`\n- `45.007 4.335`\n\n\ud83d\udea9 Flag\n- the **first word** of the *thing* you find\n- six **lowercase** letters\n- wrapped in flag format, e.g. `he2023{thingy}`\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","osint","100","standard","visible","0","he2023{davies}","","",""
"Sanity Check","![Sanity Check](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/sanitycheck/banner.jpg)\n\nThis is your first flag!  \n\nRight here --> he2023{<span style=\"color:black;background-color:black;opacity:0;\">just_A_sanity_chEck</span>}\n\n\ud83d\udea9 Flags are in format `he2023{...}`, unless noted otherwise. Always check additional information given (uppercase, lowercase, spaces, etc.).\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","misc","50","standard","visible","0","he2023{just_A_sanity_chEck}","","",""
"Flip Flop","![Flip Flop](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/flipflop/banner.jpg)\n\nThis awesome service can flipflop an image!\n\nFlag is located at: `/flag.txt`\n\n[http://__DOCKER_HOST__:2310](http://__DOCKER_HOST__:2310)\n\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `otaku` for `Hacky Easter 2023`","web","200","standard","visible","0","he2023{1m4g3-tr4g1cK-aga111n}","","Flipflopped with Imagemagick",""
"Crash Bash","![Crash Bash](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/crashbash/banner.jpg)\n\nCan you crash the bash?\n\nThe password is `B4sh_br0TH3rs`\n\nConnect using `nc __DOCKER_HOST__ 2303`\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","pwn","300","standard","visible","0","he2023{gr34t_b4sh_succ3ss!}","","Some characters are forbidden, in the whole string you enter.",""
"Code Locked","![Code Locked](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/codelocked/banner.jpg)\n\nOpen the code lock at [http://__DOCKER_HOST__:2311](http://__DOCKER_HOST__:2311) to get your \ud83d\udea9 flag.\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `inik` for `Hacky Easter 2023`","reversing,web","200","standard","visible","0","he2023{w3b4553m81y_15_FUN}","","",""
"Chemical Code","![Chemical Code](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/chemicalcode/banner.jpg)\n\nOur crazy chemistry professor wrote a secret code on the blackboard:\n\n`9 57 32 10 111 39 85 8 115 8 16 42 16`\n\nHe also mumbled something like *\"essential and elementary knowledge\"*.\n\n\ud83d\udea9 Flag\n- **lower**case only, **no spaces**\n- wrap into `he2023{` and `}`\n- example: `he2023{exampleflagonly}`\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","misc","100","standard","visible","0","he2023{flagenergyatomcosmos}","","",""
"Fruity Cipher","![Fruity Cipher](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/fruitycipher/banner.jpg)\n\nI found this fruity message. Can you decrypt it?\n\n\ud83e\udd66\ud83e\udd5d\ud83c\udf4b\ud83c\udf4a\ud83e\udd6d\ud83c\udf4c\ud83e\uded1\ud83e\uddc5 \ud83e\uddc5\ud83e\udd5d\ud83e\udd56 \ud83c\udf49\ud83c\udf60\ud83e\udd6c\ud83e\uded0 \ud83c\udf49\ud83e\uded0\ud83e\udd54\ud83e\udd65\ud83c\udf48 \ud83e\udd54\ud83c\udf4c\ud83e\udd5d\ud83e\udd56\ud83c\udf4f \ud83e\udd50\ud83c\udf4d\ud83e\udd66\ud83c\udf49\ud83c\udf47\ud83e\udd65\ud83c\udf4b \ud83e\udd51\ud83c\udf49\ud83c\udf4d\ud83e\udd50\ud83c\udf49 \ud83c\udf45\ud83c\udf60\ud83e\udd66 \ud83c\udf4b\ud83e\udd6d\ud83c\udf53\ud83c\udf50\ud83c\udf36\ud83c\udf47 \ud83e\udd55\ud83c\udf36\ud83e\udd54\ud83e\udd6d\ud83c\udf53\ud83c\udf4f\ud83c\udf52\ud83c\udf46\ud83c\udf4f \ud83c\udf36\ud83e\uded0\ud83c\udf4e\ud83c\udf4f\ud83c\udf52\ud83e\udd65\ud83c\udf4a \ud83c\udf4e\ud83e\udd5d \ud83c\udf45\ud83e\udd5d\ud83e\udd65\ud83c\udf47 \ud83c\udf4e\ud83c\udf49\ud83e\udd54\ud83c\udf53 \ud83e\udd5d\ud83c\udf53\ud83c\udf47 \ud83e\udd50\ud83e\udd6d\ud83e\udd66\ud83c\udf49\ud83c\udf47\ud83e\udd65\ud83c\udf4f\ud83e\uded0\ud83c\udf46\ud83c\udf4e \ud83c\udf36\ud83e\uded0\ud83c\udf4e\ud83c\udf4f\ud83c\udf47\ud83e\udd65\ud83c\udf4b \ud83c\udf4e\ud83c\udf49\ud83c\udf47\ud83c\udf4a\ud83e\uded0 \ud83c\udf60\ud83e\udd65\ud83c\udf52 \ud83e\udd50\ud83c\udf60\ud83c\udf36\ud83e\uded1\ud83e\uded0\ud83c\udf48 \ud83c\udf49\ud83e\udd5d\ud83c\udf45\ud83e\udd5d\ud83e\udd66\ud83c\udf49\ud83e\udd5d\ud83c\udf53\ud83c\udf4d\ud83e\udd50 \ud83e\udd50\ud83c\udf4d\ud83e\udd55\ud83c\udf49\ud83e\uded0\ud83e\udd65\ud83c\udf4b \ud83c\udf4f\ud83c\udf49\ud83c\udf47 \ud83c\udf4b\ud83e\udd5d\ud83e\uded1\ud83e\udd56\ud83c\udf4f\ud83c\udf4d\ud83e\udd5d\ud83c\udf53 \ud83e\udd6d\ud83c\udf4b \ud83c\udf49\ud83e\uddc5\ud83e\udd66\ud83c\udf52\ud83e\udd65\ud83e\udd6c\ud83e\udd6d\ud83c\udf4f\ud83c\udf60\ud83c\udf45\ud83e\udd6d\ud83c\udf53\ud83e\udd5d\ud83c\udf4b\ud83e\udd6d\ud83c\udf4a  \n\n\ud83d\udea9 Flag\n- **lower**case only, no spaces\n- wrap into `he2023{` and `}`\n- example: `he2023{exampleflagonly}`\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","crypto","200","standard","visible","0","he2023{hypervitaminosis}","","- the plaintext consist of lowercase letters (and spaces) only\n- there are more than 26 symbols\n- \ud83c\udf4f == \ud83c\udf4e",""
"Igor's Gory Passwordsafe","![Igor's Gory Passwordsafe](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/igorsgorypasswordsafe/banner.jpg)\n\nYou found the following letter:\n\n*Hi Peter*\n\n*Thanks again for your help in cryptography to make the passwordsafe secure. Now*\n\n* *The passwords of the user are stored in a irreversible way (bcrypt)*\n* *All passwords in the safe are encrypted by a strong symmetric key*\n\n*Kind regards, Roy*\n\nOpen the passwordsafe at at [http://__DOCKER_HOST__:2312](http://__DOCKER_HOST__:2312) to get your \ud83d\udea9 flag.\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `inik` for `Hacky Easter 2023`","web","100","standard","visible","0","he2023{1d0R_c4n_d3str0y_ur_Crypt0_3ff0rt}","","No brute forcing needed, really!",""
"Bins","![Bins](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/bins/banner.jpg)\n\nThe rabbits left a mess in their cage.\n```\n  //    //                    //    \n ('>   ('>    LX2gkn81        ('>    \n /rr   /rr       carrots      /rr \n*\\))_ *\\))_                  *\\))_   \n```\nIf only I knew which **bin** to put the rubbish in.\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","misc","50","standard","visible","0","he2023{s0rting_th3_w4ste}","","Don't try to interpret or decode the strings.\n\nYou just need to find the right place.",""
"Bouncy Not In The Castle","![Bouncy Not In The Castle](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/bouncynotinthecastle/banner.jpg)\n\nVery bouncy, indeed, but not in a castle.\n\n- Try [http://__DOCKER_HOST__:2308](http://__DOCKER_HOST__:2308)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `inik` for `Hacky Easter 2023`","web,forensics","200","standard","visible","0","he2023{n0_b0uNc}","","",""
"Cats in the Bucket","![Cats in the Bucket](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/catsinabucket/banner.jpg)\n\nThere is a bucket full of cat images. One of them contains a flag. Go get it!\n\n- Bucket: `cats-in-a-bucket`\n- Access Key ID: <code>AKIATZ2X44</code><code>NMIG2Z4TGY</code>\n- Secret Access Key: <code>662WGpQfgNd2pYQFe2qM</code><code>KTfwM5sj+hBMjAcGrw3U</code>\n\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","cloud","200","standard","visible","0","he2023{r0l3_assum3d_succ3ssfuLLy}","","What exactly does the bucket allow?",""
"Knock Knock","![Knock Knock](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2023/master/challenges/_teaser/banner.jpg)\n\nYou hear some strange noise in the attic. Someone seems to be knocking in a certain pattern.\n\nCan you make any sense out of it?\n\n`.... ....  . .  ... .....  ... .....  .. ....  ... ...  .. ..  .. ..  . .....  .. ....  .... ...  .... ....`\n\n\ud83d\udea9 Flag\n- **lower**case only, **no spaces**\n- wrap into `he2023{` and `}`\n- example: `he2023{exampleflagonly}`\n\n\n\n----\nCreated by `PS` for `Hacky Easter 2023`","crypto","100","standard","visible","0","he2023{tappinggeist}","","",""
"Tricky Chicken","![Tricky Chicken](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/trickychicken/banner.jpg)\n\nTricky Chicken can give you an egg. \n\nBut you must know the right code word!\n\n[Tricky Chicken's web site](http://__DOCKER_HOST__:2402)\n\nNote: The service is restarted __DOCKER_RESTART__.\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","web","200","standard","visible","0","he2024{such_4_tr1cky_ch1ck3N!}","","",""
"Piece of Cake 2","![Piece of Cake 2](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/pieceofcake2/banner.jpg)\n\nThis time, Bunny Bob was lost in thoughts. *\"I cracked your code\"*, the young bunny from before told him. *\"Is this using the same number again? It's irrational to think this would work twice.\"*\n\n*\"No\"*, Bob replied. *\"It's not that irrational at all, when you have a closer look.\"*\n\n*\"But my approach doesn't work here at all!\"* Bunny Bob sighed.\n\n*\"It's the same mechanic. Just don't start at the beginning. Start right after every hacker's birthday.\"*\n\nHis young friend looked at him quizzically and hopped away, none the wiser.\n\nHere's the encoded flag:\n\n```\nhe876:|I94kcxk6uohyp9t4cn}ti:vtcir7foowg8tbk8sfy~4166~\n```\n\n\n----\nCreated by `khae` for `Hacky Easter 2024`","misc,crypto","200","standard","visible","0","he2024{G00d_th1ng_th3s3_numb3rs_ar3_not_1mag1nary....}","","It's not \ud835\uded1 this time.",""
"PEM Flag","![PEM Flag](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/pemflag/banner.jpg)\n\nI got this flag, but it seems to be encoded in a format called \"PEM\".\n\n```\n-----BEGIN FLAG-----\naGUyMDI0e2hleC1hLWRlY2ltYWx9\n-----END FLAG-----\n\n```\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","misc","50","standard","visible","0","he2024{hex-a-decimal}","","[CyberChef](https://gchq.github.io/CyberChef)",""
"Unknown Identity","![Unknown Identity](https://raw.githubusercontent.com/PhilippSieber/hackyeaster-2024/master/challenges/unknownidentity/banner.jpg)\n\nI detected an attempt by an unknown identity to access our cloud account. Can you help me find out who it was?\n\nAll I have is this string: `AIDATZ2X44NMHZV4BWEMR`\n\n\n\n----\nCreated by `PS` for `Hacky Easter 2024`","cloud","200","standard","visible","0","he2024{14m_pr1nc1p4l_unc0v3r3d!}","","",""
